"target","fips","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,456,20,1519.29809048782,567.96223164397,440.8625,292.872,0.7156,0.2226,"0.2258"
1,456,24,216.981510508221,213.42887611688,197.363636363636,192.618181818182,0.3436,0.3871,"0.3121"
1,456,28,210.848212422652,143.444650045159,150.669642857143,140.794285714286,0.3387,0.0874,"0.2121"
1,457,12,328968.102663485,9719.46029788579,7846.9375,8403.0368,0.9306,0.4994,"0.7237"
1,457,16,8995.64619262709,8043.17950622196,8134.34391534391,8178.1580952381,0.1927,0.1956,"0.23"
1,457,20,51284.2464877846,5246.8190103912,4046.03267973856,3403.66823529412,0.0913,0.0454,"0.0102"
1,457,24,380.427055291733,376.306254554185,306.162393162393,315.723076923077,0.2675,0.0528,"0.2991"
1,457,28,389.722322448308,321.547714056376,260.691358024691,306.004444444445,0.1922,0.5899,"0.0441"
1,458,12,4485.87290366362,1293.87431952663,1215.3,1375.896,0.9969,0.9459,"0.0111"
1,458,16,1999.52553490733,1170.04277943804,1009.69642857143,929.537142857143,9e-04,0,"0"
1,458,20,430.104455300788,281.87631785983,386.871323529412,358.884705882353,0.0024,0.1498,"0"
1,458,24,106.9082158736,57.5433761805479,76.1709401709402,66.4246153846154,2e-04,1e-04,"6e-04"
1,458,28,110.444810420328,38.282889178747,35.0740740740741,43.5422222222222,1e-04,1e-04,"0"
1,459,12,3697.02044865899,1796.4,1176.39,1374.0384,0.999,0.6723,"0.9982"
1,459,20,707.018891195414,323.489721161252,331.104575163399,207.451764705882,0.7304,0.9749,"0.247"
1,459,24,251.174478686195,260.793953317951,154.598290598291,134.621538461538,0.8197,0.9916,"0.2291"
1,459,28,335.241000237788,330.84952978158,197.975308641975,151.44,0.519,0.9725,"0.2446"
1,460,12,113.870387879707,99.7877110551233,125.455,119.424,0.9902,0.9933,"0.9814"
1,460,16,109.979401577979,123.770996810147,159.208333333333,134.817142857143,0.9903,0.9164,"0.9938"
1,460,20,67.499047490174,85.6638769868542,95.1699346405229,109.781176470588,0.9259,0.7629,"0.632"
1,460,24,42.0543504572304,41.5716533909878,34.1196581196581,45.9692307692308,0.1847,0.0769,"0.0309"
1,460,28,28.9776260403286,24.3162536024256,24.6543209876543,28.3688888888889,0.4208,0.1002,"0.0162"
1,461,12,2540.71808627113,763.373950200276,599.093333333333,487.1776,0.9665,0.9798,"0.9659"
1,461,16,620.34172474853,552.91365976205,554.164021164021,298.851428571429,0.3936,0.3452,"0.7363"
1,461,20,355.020181887142,350.112824046253,399.607843137255,263.021176470588,0.8563,0.7676,"0.9992"
1,461,24,57.1248727169054,56.9669518829461,55.5138461538462,55.5138461538462,0.536,0.1745,"No need to compare!"
1,461,28,66.6525552022524,66.6278628878655,64.5066666666667,64.5066666666667,0.17,0.3432,"No need to compare!"
1,462,12,7221.49800925053,1862.48012966841,2542.04347826087,2123.01217391304,0.9982,0.7522,"0.9845"
1,462,20,795.445012322038,467.781611604446,552.933333333333,423.938666666667,0.9345,0.2959,"0.3053"
1,462,24,373.074829182623,148.924008796847,226.919191919192,171.025454545455,0.352,0.1431,"0.0364"
1,462,28,163.488782386058,91.9545030036632,118.222222222222,111.154285714286,0.0437,0.0412,"1e-04"
1,463,12,2159.88864082777,861.560000000001,740.49,1034.2592,0.8411,0.0084,"0.345"
1,463,16,903.887297569903,420.811878037657,388.958333333333,425.009523809524,0.0022,3e-04,"4e-04"
1,463,20,359.19124917688,284.500894497319,272.4375,285.035294117647,0.8357,0.1344,"0"
1,463,24,62.6266585548294,64.5807343657586,57.8846153846154,69.2369230769231,2e-04,0.0151,"3e-04"
1,463,28,81.7635325075906,36.5752817458559,27.5486111111111,26.9377777777778,0,0,"6e-04"
1,464,12,1744.54213103748,2013.08,1795.76444444444,2015.936,0.9525,0.5851,"0.4483"
1,464,16,3541.86525278493,1162.46432802007,1268.22222222222,1280.32761904762,0.2743,0.0661,"0.0141"
1,464,20,383.14745256299,215.697482783818,198.8125,242.221176470588,0.1428,0.0979,"0.0928"
1,464,24,166.596918156791,175.892378167575,190.091346153846,236.507692307692,0.0059,0.0411,"0.0095"
1,464,28,187.509451736591,128.024113858256,152.409722222222,217.506666666667,1e-04,0,"0.0562"
1,465,12,10374.8031393106,7019.24,7175.035,8696.392,0.9799,0.9585,"0"
1,465,16,6515.62699424834,7030.42857142857,6811.0119047619,7740.90857142857,0.5156,0.6493,"0"
1,465,20,3831.27512005308,2190.43216986306,2881.17647058824,2603.7505882353,0.5842,0.0821,"0"
1,465,24,564.417828032558,624.101256006546,768.067307692308,830.729230769231,0.8012,0.1208,"0"
1,465,28,644.175078864243,707.029057555667,769.576388888889,775.6,0.159,0.0082,"0"
1,466,12,13262.5109644011,4955.9368876091,3888.62801932367,4039.90086956522,0.984,0.9832,"0.8867"
1,466,16,70815.6890390069,3696.94161620663,2846.35526315789,2193.39368421053,0.9909,0.7822,"0.1494"
1,466,20,267.499715981232,362.37155748098,320.244444444444,253.410666666667,0.6531,0.9543,"0.8828"
1,466,24,64.648432644631,55.3859484685255,48.8787878787879,31.5236363636364,0.5735,0.0644,"0.3826"
1,466,28,52.2232772142086,65.6011533329945,60.2380952380952,41.8971428571429,0.3009,0.0481,"0.5187"
1,467,16,73518.2668845864,11809.212701076,13657.1754385965,7743.18713450292,0.0973,0,"0.068"
1,467,20,6729.11691860633,5351.39025975671,8408.6962962963,4279.95185185185,0.0022,0.0125,"0.0246"
1,467,24,5952.5705262877,1800.29037752839,2428.63636363636,2339.65909090909,1e-04,0,"1e-04"
1,467,28,1877.77050766927,2628.63964435543,3434.375,3483.18650793651,0,0,"0.0026"
1,468,16,473.73350077685,350.152379608383,257.142857142857,192.272380952381,0.7259,0.7849,"0.2777"
1,468,20,209.080499564839,153.512135386834,116.673202614379,91.6823529411765,0.6261,0.4539,"0.2686"
1,468,24,110.677901034172,92.3991749920073,73.6495726495726,52.9169230769231,0.0544,0.0977,"0.0341"
1,468,28,33.1277437982524,17.2380985721447,15.9012345679012,13.0133333333333,0.0269,0.027,"0.0698"
1,469,12,4530.7537172714,2504.05172461491,2407.3696,2407.3696,0.9261,0.981,"No need to compare!"
1,469,16,12780.2631324294,2315.40595637951,2515.89417989418,2069.6780952381,0.2181,0.0298,"0.0054"
1,469,20,3323.93460622593,2579.13143512581,1745.33333333333,1546.56470588235,0.4356,0.4408,"0.4255"
1,469,24,327.888454187781,338.25084505136,237.884615384615,454.446153846154,0.8903,0.9157,"0.5715"
1,469,28,192.977000742869,149.044182119744,136.916666666667,137.302222222222,0.5501,0.3779,"0.32"
1,470,12,1637.57128147325,545.634295179294,575.595555555556,520.0688,0.791,0.3945,"0.5454"
1,470,16,1108.14775301705,562.02794255922,594.634920634921,522.857142857143,0.9967,0.9882,"0.9964"
1,470,20,212.56511785378,185.957007952159,168.490196078431,173.804705882353,0.9715,0.9879,"0.9829"
1,470,24,80.1886122320394,23.4271430519198,18.991452991453,13.8153846153846,0.9149,0.6646,"0.9677"
1,470,28,26.3915300543661,14.3255508852536,14.0246913580247,15.1955555555556,0.8969,0.5696,"0.9406"
1,471,12,228.65192254249,201.493861578993,213.826666666667,233.9104,0.9693,0.5359,"0.0191"
1,471,16,191.920376026334,221.305213393379,227.077380952381,249.731428571429,0.0666,0.1035,"3e-04"
1,471,20,112.746960977321,69.5694725439322,84.7450980392157,64.3341176470588,0.0113,0.0056,"2e-04"
1,471,24,72.8279237911873,12.4374486850349,11.7548076923077,11.0030769230769,0.0112,0.0055,"0"
1,472,12,4084.9726872315,428.36,402.213333333333,501.264,0.9316,0.0502,"0.3056"
1,472,16,4025.16910932138,210.654979984851,203.568452380952,214.108571428571,0.9919,0.0245,"0.003"
